Party,Party Votes Percentage,Electorate,Election Year
ACT New Zealand,7.52,Auckland Central,2020
Advance NZ,0.55,Auckland Central,2020
Aotearoa Legalise Cannabis Party,0.27,Auckland Central,2020
Green Party,19.14,Auckland Central,2020
HeartlandNZ,0.0,Auckland Central,2020
Labour Party,46.22,Auckland Central,2020
Maori Party,0.31,Auckland Central,2020
National Party,21.19,Auckland Central,2020
New Conservative,0.54,Auckland Central,2020
New Zealand First Party,1.72,Auckland Central,2020
NZ Outdoors Party,0.04,Auckland Central,2020
ONE Party,0.06,Auckland Central,2020
Social Credit,0.02,Auckland Central,2020
Sustainable New Zealand Party,0.16,Auckland Central,2020
TEA Party,0.1,Auckland Central,2020
The Opportunities Party (TOP),2.14,Auckland Central,2020
Vision New Zealand,0.03,Auckland Central,2020
ACT New Zealand,6.81,Botany,2020
Advance NZ,0.42,Botany,2020
Aotearoa Legalise Cannabis Party,0.2,Botany,2020
Green Party,3.29,Botany,2020
HeartlandNZ,0.01,Botany,2020
Labour Party,47.59,Botany,2020
Maori Party,0.19,Botany,2020
National Party,37.14,Botany,2020
New Conservative,1.42,Botany,2020
New Zealand First Party,1.44,Botany,2020
NZ Outdoors Party,0.04,Botany,2020
ONE Party,0.23,Botany,2020
Social Credit,0.01,Botany,2020
Sustainable New Zealand Party,0.07,Botany,2020
TEA Party,0.4,Botany,2020
The Opportunities Party (TOP),0.63,Botany,2020
Vision New Zealand,0.11,Botany,2020
ACT New Zealand,8.81,East Coast Bays,2020
Advance NZ,0.62,East Coast Bays,2020
Aotearoa Legalise Cannabis Party,0.22,East Coast Bays,2020
Green Party,6.16,East Coast Bays,2020
HeartlandNZ,0.01,East Coast Bays,2020
Labour Party,40.25,East Coast Bays,2020
Maori Party,0.17,East Coast Bays,2020
National Party,38.38,East Coast Bays,2020
New Conservative,1.79,East Coast Bays,2020
New Zealand First Party,1.72,East Coast Bays,2020
NZ Outdoors Party,0.08,East Coast Bays,2020
ONE Party,0.1,East Coast Bays,2020
Social Credit,0.03,East Coast Bays,2020
Sustainable New Zealand Party,0.08,East Coast Bays,2020
TEA Party,0.42,East Coast Bays,2020
The Opportunities Party (TOP),1.14,East Coast Bays,2020
Vision New Zealand,0.03,East Coast Bays,2020
ACT New Zealand,10.41,Epsom,2020
Advance NZ,0.35,Epsom,2020
Aotearoa Legalise Cannabis Party,0.09,Epsom,2020
Green Party,10.99,Epsom,2020
HeartlandNZ,0.01,Epsom,2020
Labour Party,36.05,Epsom,2020
Maori Party,0.26,Epsom,2020
National Party,37.46,Epsom,2020
New Conservative,0.5,Epsom,2020
New Zealand First Party,1.46,Epsom,2020
NZ Outdoors Party,0.02,Epsom,2020
ONE Party,0.06,Epsom,2020
Social Credit,0.02,Epsom,2020
Sustainable New Zealand Party,0.07,Epsom,2020
TEA Party,0.27,Epsom,2020
The Opportunities Party (TOP),1.97,Epsom,2020
Vision New Zealand,0.02,Epsom,2020
ACT New Zealand,11.27,Kaipara ki Mahurangi,2020
Advance NZ,1.47,Kaipara ki Mahurangi,2020
Aotearoa Legalise Cannabis Party,0.32,Kaipara ki Mahurangi,2020
Green Party,6.31,Kaipara ki Mahurangi,2020
HeartlandNZ,0.02,Kaipara ki Mahurangi,2020
Labour Party,40.31,Kaipara ki Mahurangi,2020
Maori Party,0.28,Kaipara ki Mahurangi,2020
National Party,33.97,Kaipara ki Mahurangi,2020
New Conservative,1.49,Kaipara ki Mahurangi,2020
New Zealand First Party,2.58,Kaipara ki Mahurangi,2020
NZ Outdoors Party,0.13,Kaipara ki Mahurangi,2020
ONE Party,0.31,Kaipara ki Mahurangi,2020
Social Credit,0.09,Kaipara ki Mahurangi,2020
Sustainable New Zealand Party,0.12,Kaipara ki Mahurangi,2020
TEA Party,0.03,Kaipara ki Mahurangi,2020
The Opportunities Party (TOP),1.29,Kaipara ki Mahurangi,2020
Vision New Zealand,0.02,Kaipara ki Mahurangi,2020
ACT New Zealand,4.37,Kelston,2020
Advance NZ,0.83,Kelston,2020
Aotearoa Legalise Cannabis Party,0.38,Kelston,2020
Green Party,8.29,Kelston,2020
HeartlandNZ,0.01,Kelston,2020
Labour Party,62.5,Kelston,2020
Maori Party,0.52,Kelston,2020
National Party,17.33,Kelston,2020
New Conservative,1.37,Kelston,2020
New Zealand First Party,2.59,Kelston,2020
NZ Outdoors Party,0.04,Kelston,2020
ONE Party,0.31,Kelston,2020
Social Credit,0.04,Kelston,2020
Sustainable New Zealand Party,0.04,Kelston,2020
TEA Party,0.17,Kelston,2020
The Opportunities Party (TOP),1.15,Kelston,2020
Vision New Zealand,0.06,Kelston,2020
ACT New Zealand,1.55,Mangere,2020
Advance NZ,1.07,Mangere,2020
Aotearoa Legalise Cannabis Party,0.41,Mangere,2020
Green Party,3.99,Mangere,2020
HeartlandNZ,0.01,Mangere,2020
Labour Party,77.37,Mangere,2020
Maori Party,0.9,Mangere,2020
National Party,9.11,Mangere,2020
New Conservative,1.73,Mangere,2020
New Zealand First Party,2.76,Mangere,2020
NZ Outdoors Party,0.03,Mangere,2020
ONE Party,0.25,Mangere,2020
Social Credit,0.04,Mangere,2020
Sustainable New Zealand Party,0.04,Mangere,2020
TEA Party,0.03,Mangere,2020
The Opportunities Party (TOP),0.41,Mangere,2020
Vision New Zealand,0.33,Mangere,2020
ACT New Zealand,1.73,Manurewa,2020
Advance NZ,0.83,Manurewa,2020
Aotearoa Legalise Cannabis Party,0.45,Manurewa,2020
Green Party,3.03,Manurewa,2020
HeartlandNZ,0.03,Manurewa,2020
Labour Party,73.91,Manurewa,2020
Maori Party,0.82,Manurewa,2020
National Party,13.03,Manurewa,2020
New Conservative,1.69,Manurewa,2020
New Zealand First Party,2.87,Manurewa,2020
NZ Outdoors Party,0.03,Manurewa,2020
ONE Party,0.27,Manurewa,2020
Social Credit,0.02,Manurewa,2020
Sustainable New Zealand Party,0.05,Manurewa,2020
TEA Party,0.12,Manurewa,2020
The Opportunities Party (TOP),0.46,Manurewa,2020
Vision New Zealand,0.65,Manurewa,2020
ACT New Zealand,7.14,Maungakiekie,2020
Advance NZ,0.55,Maungakiekie,2020
Aotearoa Legalise Cannabis Party,0.27,Maungakiekie,2020
Green Party,9.14,Maungakiekie,2020
HeartlandNZ,0.01,Maungakiekie,2020
Labour Party,50.75,Maungakiekie,2020
Maori Party,0.43,Maungakiekie,2020
National Party,25.97,Maungakiekie,2020
New Conservative,1.12,Maungakiekie,2020
New Zealand First Party,2.1,Maungakiekie,2020
NZ Outdoors Party,0.05,Maungakiekie,2020
ONE Party,0.18,Maungakiekie,2020
Social Credit,0.02,Maungakiekie,2020
Sustainable New Zealand Party,0.06,Maungakiekie,2020
TEA Party,0.22,Maungakiekie,2020
The Opportunities Party (TOP),1.87,Maungakiekie,2020
Vision New Zealand,0.13,Maungakiekie,2020
ACT New Zealand,6.0,Mt Albert,2020
Advance NZ,0.34,Mt Albert,2020
Aotearoa Legalise Cannabis Party,0.2,Mt Albert,2020
Green Party,20.06,Mt Albert,2020
HeartlandNZ,0.01,Mt Albert,2020
Labour Party,48.9,Mt Albert,2020
Maori Party,0.49,Mt Albert,2020
National Party,18.75,Mt Albert,2020
New Conservative,0.58,Mt Albert,2020
New Zealand First Party,1.83,Mt Albert,2020
NZ Outdoors Party,0.04,Mt Albert,2020
ONE Party,0.08,Mt Albert,2020
Social Credit,0.01,Mt Albert,2020
Sustainable New Zealand Party,0.05,Mt Albert,2020
TEA Party,0.1,Mt Albert,2020
The Opportunities Party (TOP),2.53,Mt Albert,2020
Vision New Zealand,0.03,Mt Albert,2020
ACT New Zealand,4.99,Mt Roskill,2020
Advance NZ,0.52,Mt Roskill,2020
Aotearoa Legalise Cannabis Party,0.18,Mt Roskill,2020
Green Party,8.02,Mt Roskill,2020
HeartlandNZ,0.01,Mt Roskill,2020
Labour Party,56.17,Mt Roskill,2020
Maori Party,0.37,Mt Roskill,2020
National Party,24.44,Mt Roskill,2020
New Conservative,1.2,Mt Roskill,2020
New Zealand First Party,1.92,Mt Roskill,2020
NZ Outdoors Party,0.03,Mt Roskill,2020
ONE Party,0.27,Mt Roskill,2020
Social Credit,0.05,Mt Roskill,2020
Sustainable New Zealand Party,0.05,Mt Roskill,2020
TEA Party,0.43,Mt Roskill,2020
The Opportunities Party (TOP),1.31,Mt Roskill,2020
Vision New Zealand,0.05,Mt Roskill,2020
ACT New Zealand,6.31,New Lynn,2020
Advance NZ,0.88,New Lynn,2020
Aotearoa Legalise Cannabis Party,0.25,New Lynn,2020
Green Party,11.45,New Lynn,2020
HeartlandNZ,0.0,New Lynn,2020
Labour Party,53.33,New Lynn,2020
Maori Party,0.46,New Lynn,2020
National Party,21.88,New Lynn,2020
New Conservative,1.16,New Lynn,2020
New Zealand First Party,2.33,New Lynn,2020
NZ Outdoors Party,0.09,New Lynn,2020
