Electorate,15-29 years (%),30-64 years (%),65 years and over (%),No qualification (%),Level 1 certificate (%),Level 2 certificate (%),Level 3 certificate (%),Level 4 certificate (%),Level 5 diploma (%),Level 6 diploma (%),Bachelor degree and level 7 qualification (%),Post-graduate and honours degrees (%),Masters degree (%),Doctorate degree (%),Overseas secondary school qualification (%),Total people - religious affiliation (%),  Adventist (%),  Anglican (%),  Baptist (%),  Catholicism (%),"  Evangelical, Born Again and Fundamentalist (%)",  Jehovah's Witnesses (%),  Latter-day Saints (%),  Methodist (%),  Pentecostal (%),"  Presbyterian, Congregational and Reformed (%)","  Maori Religions, Beliefs and Philosophies (%)",  Buddhism (%),  Hinduism (%),  Islam (%),  Judaism (%),  Spiritualism and New Age religions (%),  Sikhism (%),  Jedi (%),  Other religions (%),European (%),Maori (%),Pacific Peoples (%),Asian (%),Middle Eastern/Latin American/African (%),Other ethnicity (%),Regular smoker (%),Ex-smoker (%),Never smoked regularly (%),No dependent children (%),One dependent child (%),Two dependent children (%),Three dependent children (%),Four or more dependent children (%),Year
auckland central,20.06800311680952,47.37550471063257,12.346815895728554,9.72586243536162,7.388255295034356,7.246582135014521,7.395338953035348,6.006941984840972,3.3505702344690795,3.8605936105404832,12.623078557767231,2.7697102783877594,2.9255507544095773,0.7154494581001629,7.005737762980803,98.17241623574414,0.23376071403272647,9.810866331373521,2.387192746334207,11.376354749592691,0.4037685060565276,0.3470992420485939,0.8146206701140468,2.521782248353049,2.0825954522915637,5.589006162782461,0.4816887440674364,1.4308989162003258,2.4013600623361904,1.3529786781894169,0.18417510802578452,0.38251753205355243,0.1700077920238011,0.0,0.2408443720337182,72.44457037614224,7.572430403060141,5.645675426790395,13.345611673868385,1.3104767301834668,1.303393072182475,7.515761139052207,16.143656584260114,47.998866614719844,2.684706382375859,3.8605936105404832,4.4768718566267625,1.4946518382092513,0.42501948005950274,2017
botany,29.006750241080038,41.99614271938283,9.488910318225651,11.54291224686596,6.817743490838958,6.075216972034716,10.067502410800385,5.1591128254580525,2.7193828351012534,2.622950819672131,10.057859209257474,1.6586306653809064,1.9575699132111861,0.4146576663452266,7.666345226615236,95.71841851494696,0.5303760848601736,5.814850530376084,1.6104146576663454,11.822565091610414,0.626808100289296,0.40501446480231434,1.2729026036644167,2.700096432015429,2.0829315332690452,6.441658630665382,0.9450337512054001,2.4493731918997104,4.1947926711668275,2.584378013500482,0.1253616200578592,0.4532304725168756,0.2410800385728062,0.0,0.2700096432015429,48.21600771456123,11.176470588235295,13.375120540019287,24.33944069431051,2.430086788813886,0.9643201542912248,10.115718418514948,11.76470588235294,46.31629701060752,2.227579556412729,3.616200578592092,3.2883317261330767,1.0221793635486982,0.5303760848601736,2017
east coast bays,19.9603026919737,45.88760699665054,13.658355042798659,11.499813918868625,8.162758962907828,7.244758714799652,7.294380349832527,6.091055700285324,3.4611090435429848,3.337054955960799,11.673489641483686,2.1585411239300334,2.3818384815779683,0.40937848902121327,7.157920853492122,99.21845924823222,0.3101352189554646,9.10557002853244,1.935243766282099,13.720382086589753,0.3597568539883389,0.2357027664061531,0.8187569780424265,2.878054831906711,2.4190547078526237,6.537650415581194,0.5830542116362734,1.637513956084853,2.084108671380722,1.5010544597444486,0.24810817516437164,0.4341893065376504,0.29772981019724604,0.0,0.2357027664061531,65.12839598064755,9.254434933631064,8.559732043170824,17.652896662945043,2.195757350204689,1.3273787371293886,8.646569904478353,14.836868874829426,48.65401314973328,2.8656494231484926,4.056568663937476,4.304676839101848,1.3770003721622628,0.3721622627465575,2017
epsom,21.102761272282418,47.29115693813352,10.852848654316674,11.377140859839217,7.742048234882907,6.946871723173715,6.955609926599091,6.081789584061517,3.364208318769661,3.215658860538273,11.543166724921356,2.280671094023069,2.7437958755679834,0.5505068157986718,6.658511010136316,99.48444599790282,0.3495281370150297,7.016777350576721,2.0709542118140507,11.604334148898985,0.4631247815449144,0.5505068157986718,0.8388675288360714,2.4204823488290805,1.7039496679482697,5.312827682628452,0.5155540020971688,2.1146452289409297,3.4253757427472915,2.245718280321566,0.16602586508213912,0.4980775952464173,0.2534078993358965,0.0,0.32331352673890246,62.189793778399164,8.99161132471164,11.481999300943727,18.18420132820692,1.800069905627403,1.2757777001048585,9.472212513107305,15.178259349877665,45.954211814051035,2.5865082139112197,4.141908423628101,4.0283117790982175,1.1709192590003497,0.48060118839566585,2017
helensville,21.504265828468792,46.22810956443646,11.944319712617872,10.736416704086214,7.3955994611585085,6.8208352043107325,7.853614728334082,5.361472833408172,3.372249663224068,3.1926358329591378,12.703188145487202,2.1194431971261785,2.5909295015716207,0.47597665020206553,8.136506511001347,98.83700044903458,0.33228558599012126,7.606645711719802,1.7422541535698248,13.295913785361474,0.5343511450381679,0.345756623259991,1.0058374494836102,2.7525819488100582,2.1284238886394253,6.7220475976650205,0.5747642568477772,2.5864391558149977,3.0309833857207003,1.7108217332734619,0.21553659631791647,0.3682083520431073,0.23798832510103277,0.0,0.3637180062864841,56.26852267624607,8.706780422092502,9.375841939829368,25.788055680287382,2.0296362819937133,1.21239335428828,8.536147283340817,13.73596766951055,49.3623709025595,2.8603502469690163,4.06376290974405,4.211944319712617,1.140547822182308,0.47597665020206553,2017
hunua,19.34108260540615,46.578169062521496,12.772542815874544,13.095811266249399,8.370589449068024,7.242588898823852,6.664832519430497,6.114588348579683,3.1914161909347274,3.1432698259852807,10.777907696540339,1.9877570671985694,2.414196299607951,0.40580507600247606,5.805076002476098,99.58731687186189,0.2476098768828668,7.971662425201183,1.1899030194648874,10.736639383726528,0.3989270238668409,0.474585597358828,0.6259027443428021,2.8406355320173327,1.7126349817731619,5.48868560423688,1.093610289565995,1.719513033908797,3.652245684022285,2.8681477405598734,0.19258545979778527,0.4333172845450169,0.3026342939679483,0.0,0.2613659811541371,62.73471352912855,10.846688217896691,9.986931700942293,17.098837609189076,1.7951716074007842,1.4031226356695783,9.773712084737603,15.448105096636633,45.05124148841048,2.090927849233097,3.714148153243001,4.085562968567301,1.4375128963477544,0.5020978059013687,2017
kelston,20.309810671256454,46.84042291615441,13.363658716498646,10.167199409884436,7.081386771576101,6.860093434964347,7.487091222030981,5.741332677649373,3.4669289402507992,3.725104499631178,13.867715761003197,2.5694615195475783,2.999754118514876,0.6147037128104254,7.7329727071551515,98.8443570199164,0.24588148512417013,8.655028276370789,1.9301696582247359,12.490779444307844,0.5286451930169659,0.4671748217359233,1.1310548315711826,2.6555200393410376,1.8564052126874846,6.3929186132284235,0.40570445045488074,1.9916400295057781,3.4669289402507992,1.8441111384312763,0.2089992623555446,0.4425866732235063,0.29505778214900413,0.0,0.24588148512417013,63.36365871649865,7.573149741824441,8.97467420703221,20.309810671256454,1.8564052126874846,1.1802311285960165,8.544381608064914,15.55200393410376,49.01647405950332,2.495697074010327,3.9832800590115562,4.179985247110893,1.2785837226456849,0.4302925989672977,2017
mangere,27.29766803840878,45.717116293247976,8.786770309404055,9.030635573845451,6.0128029263831735,6.005182136869379,8.520042676421276,5.08306660570035,3.680841335162323,3.1854900167657374,15.14250876390794,3.048315805517452,3.383630544124371,0.6477671086724585,7.963725041914342,98.74256973022405,0.3200731595793324,6.485291876238378,1.6156073769242492,12.360920591373265,0.533455265965554,0.30483158055174514,0.6401463191586648,2.1643042219173907,1.7832647462277091,5.4564852918762385,0.4496265813138241,2.4310318549001675,4.663923182441701,3.246456332876086,0.205761316872428,0.47248894985520495,0.4267642127724432,0.0,0.30483158055174514,54.57247370827618,7.148300563938424,8.611492150586802,26.77183356195702,3.055936595031245,1.1126352690138699,8.45907636031093,12.863892699283646,50.91449474165523,2.438652644413961,3.840877914951989,3.6579789666209424,1.1736015851242187,0.3886602652034751,2017
manukau east,20.03713224792916,46.34390174235933,10.811196800914026,12.739217366466724,9.311625249928591,7.969151670951156,6.76949443016281,7.02656383890317,3.184804341616681,3.1133961725221364,9.397315052842044,1.7852042273636106,1.7852042273636106,0.2856326763781777,5.526992287917738,99.21451013996001,0.371322479291631,7.92630676949443,1.7280776920879748,11.553841759497287,0.4570122822050843,0.5427020851185376,1.0282776349614395,2.570694087403599,2.413596115395601,4.9414453013424735,0.8997429305912596,1.6995144244501572,2.2564981433876037,1.0568409025992573,0.15709797200799772,0.6426735218508998,0.15709797200799772,0.0,0.3570408454727221,67.10939731505285,14.19594401599543,11.8966009711511,12.15367037989146,1.3281919451585262,1.1853756069694374,11.196800914024564,16.523850328477575,41.94515852613539,2.4707226506712368,3.9702942016566696,4.098828906026849,1.3853184804341616,0.4998571836618109,2017
manurewa,19.356300997280147,46.112873980054395,17.860380779691752,11.491387126019946,7.842248413417952,7.060290117860381,6.516319129646418,6.017679057116954,3.139165911151405,3.841795104261106,13.22529465095195,3.014505893019039,3.456482320942883,0.827289211242067,6.708975521305531,98.30009066183138,0.1699909338168631,10.7207615593835,1.960562103354488,10.539437896645513,0.3173164097914778,0.5326382592928378,0.4759746146872167,2.0512239347234815,1.4619220308250227,6.074342701722575,0.5553037171350862,1.688576609247507,3.513145965548504,1.654578422484134,0.28331822302810517,0.5666364460562103,0.3626473254759746,0.0,0.3399818676337262,71.21486854034451,7.252946509519492,6.006346328195829,14.063916591115142,1.3825929283771532,1.3599274705349047,8.114233907524932,18.495013599274706,47.83544877606528,2.232547597461469,3.1958295557570264,3.3318223028105165,1.0539437896645512,0.3739800543970988,2017
