Date,Poll,National Party,Labour Party,Green Party,New Zealand First Party,ACT New Zealand,Other,Election Year
2014-10-12,Roy Morgan Research,43.5,22.5,17.5,7,0.5,8.5,2017
2014-11-09,Roy Morgan Research,49.5,24,14.5,6.5,0.5,3.5,2017
2014-12-07,Roy Morgan Research,46,27,12,7,1.5,5.5,2017
2014-12-21,Herald–DigiPoll,50.4,28.9,9.5,5.6,0.4,4.6000000000000005,2017
2015-01-18,Roy Morgan Research,52,26,11,6,1,3.5,2017
2015-01-28,3 News–Reid Research,49.8,29.1,9.3,6.9,0.4,4.6,2017
2015-02-15,Roy Morgan Research,49,30,12,6,0,2.5,2017
2015-02-18,One News–Colmar Brunton,49,31,10,6,0.3,3.3,2017
2015-03-15,Roy Morgan Research,46.5,31,11,6,1,3.5,2017
2015-04-15,One News–Colmar Brunton,49,31,9,7,0.5,3.4,2017
2015-04-19,Roy Morgan Research,45.5,27.5,13.5,8,1,2.5,2017
2015-04-26,Herald-DigiPoll,51,28.7,10.8,6.1,0.8,1.9000000000000001,2017
2015-05-17,Roy Morgan Research,54,25.5,10.5,6,1,2.0,2017
2015-05-27,One News–Colmar Brunton,48,31,10,7,0.1,3.6999999999999997,2017
2015-05-27,3 News–Reid Research,46.4,30.4,11.1,8.1,0.5,3.1,2017
2015-06-21,Roy Morgan Research,49.5,26,13,6.5,1,2.0,2017
2015-07-12,Roy Morgan Research,43,32,13,7,0.5,3.0,2017
2015-07-15,One News–Colmar Brunton,47,32,13,7,0.4,0.9,2017
2015-07-22,3 News–Reid Research,47,31.1,11.4,8.4,0.5,1.4999999999999998,2017
2015-08-16,Roy Morgan Research,50.5,27,11,8,0.5,2.0,2017
2015-08-24,Herald-DigiPoll,50.8,31,9.2,6.9,0.2,1.8,2017
2015-09-02,One News–Colmar Brunton,47,32,12,7,0.1,1.5,2017
2015-09-13,Roy Morgan Research,44.5,31,15,5.5,0.5,3.5,2017
2015-09-16,3 News–Reid Research,47.3,33,10,7.9,0.6,1.0,2017
2015-10-11,Roy Morgan Research,50,29,11.5,6.5,0.5,1.5,2017
2015-10-14,One News–Colmar Brunton,47,31,12,9,0.2,1.2000000000000002,2017
2015-11-08,Roy Morgan Research,49,29.5,12,6,0.5,3.0,2017
2015-11-17,3 News–Reid Research,46.7,32.3,10.2,7.5,0.8,2.2,2017
2015-12-06,Roy Morgan Research,49,28.5,13,6,0.5,2.5,2017
2015-12-14,Herald-DigiPoll,51.3,31.1,8.2,5.7,0.8,2.4,2017
2016-01-17,Roy Morgan Research,47,27.5,14,6.5,0.5,4.0,2017
2016-02-14,Roy Morgan Research,48,27,14.5,6,0.5,2.5,2017
2016-02-17,One News–Colmar Brunton,47,32,8,10,0.3,2.0,2017
2016-03-13,Roy Morgan Research,46,28,14,9,1,2.0,2017
2016-04-06,One News–Colmar Brunton,50,28,10,9,0.7,1.4000000000000001,2017
2016-04-17,Roy Morgan Research,42.5,26,14.5,12.5,1.5,2.5,2017
2016-05-15,Roy Morgan Research,45.5,29.5,12,9.5,1,1.5,2017
2016-05-22,Newshub Reid Research,47,31.3,11.1,7.8,0.4,1.7000000000000002,2017
2016-06-02,One News–Colmar Brunton,48,29,12,9,0.3,1.5,2017
2016-06-12,Roy Morgan Research,43.5,28,14.5,9,0.5,4.0,2017
2016-07-17,Roy Morgan Research,53,25.5,11.5,7,1,1.5,2017
2016-08-03,Newshub Reid Research,45.1,32.7,11.5,8.1,0.2,2.3000000000000003,2017
2016-08-21,Roy Morgan Research,46,25.5,14.5,9.5,1,3.0,2017
2016-09-07,One News–Colmar Brunton,48,26,13,11,0,2.3,2017
2016-09-18,Roy Morgan Research,41.5,33.5,12,8.5,1,2.5,2017
2016-10-23,Roy Morgan Research,48,26.5,11.5,10,0.5,1.5,2017
2016-11-23,One News–Colmar Brunton,50,28,11,10,0,1.2,2017
2016-11-20,Roy Morgan Research,49.5,23.0,14.5,8.0,1.0,2.5,2017
2016-12-11,Roy Morgan Research,45.0,28.5,14.5,7.5,0.5,2.5,2017
2017-01-16,Roy Morgan Research,46.0,27.0,12.5,9.0,0.5,3.0,2017
2017-02-12,Roy Morgan Research,48.0,26.0,13.0,8.0,1.0,2.0,2017
2017-02-15,One News–Colmar Brunton,46,30,11,11,0.8,2.0,2017
2017-03-12,Roy Morgan Research,43.5,29.5,14.5,7.5,0.5,3.5,2017
2017-03-19,Newshub Reid Research,47.1,30.8,11.2,7.6,0.4,2.3,2017
2017-03-22,One News–Colmar Brunton,46,30,11,8,0.4,4.9,2017
2017-04-16,Roy Morgan Research,43.0,29.5,13.0,10.5,1.5,1.5,2017
2017-05-14,Roy Morgan Research,43.0,28.5,14.0,10.0,0.5,2.0,2017
2017-05-24,Listener: Bauer Media Insights,43.75,23.75,16.25,10.00,1.25,5.0,2017
2017-05-31,One News–Colmar Brunton,49,30,9,9,0.5,2.0999999999999996,2017
2017-06-11,Roy Morgan Research,46.5,25.5,14.0,9.0,1.0,2.0,2017
2017-06-12,Newshub Reid Research,47.4,26.4,12.5,9.4,0.9,2.9000000000000004,2017
2017-07-05,One News–Colmar Brunton,47,27,11,11,0.3,3.5,2017
