Date,Poll,National Party,Labour Party,New Zealand First Party,Green Party,ACT New Zealand,Other,Election Year
2020-10-15,Newshub–Reid Research,31.1,45.8,3.5,6.3,7.4,3.8999999999999995,2020
2020-10-14,1 News–Colmar Brunton,31,46,2.6,8,8,4.1000000000000005,2020
2020-10-07,1 News–Colmar Brunton,32,47,2.4,6,8,4.2,2020
2020-09-27,1 News–Colmar Brunton,33,47,1.4,7,8,3.8000000000000003,2020
2020-09-23,Newshub–Reid Research,29.6,50.1,1.9,6.5,6.3,4.5,2020
2020-09-21,1 News–Colmar Brunton,31,48,2.4,6,7,4.4,2020
2020-09-21,Roy Morgan Research,28.5,48.0,2.5,11.5,6.0,1.5,2020
2020-07-29,1 News–Colmar Brunton,32,53,2,5,4.8,2.3,2020
2020-07-24,Newshub–Reid Research,25.1,60.9,2.0,5.7,3.3,1.7000000000000002,2020
2020-06-24,1 News–Colmar Brunton,38,50,1.8,6,3.1,2.0999999999999996,2020
2020-05-24,Roy Morgan Research,26.5,56.5,2.5,7,3.5,2.5,2020
2020-05-20,1 News–Colmar Brunton,29,59,2.9,4.7,2.2,2.1,2020
2020-05-16,Newshub–Reid Research,30.6,56.5,2.7,5.5,1.8,2.0,2020
2020-02-12,1 News–Colmar Brunton,46,41,3.3,5,1.7,2.0,2020
2020-02-01,Newshub–Reid Research,43.3,42.5,3.6,5.6,1.8,2.2,2020
2020-02-01,Roy Morgan Research,40,40,2.5,10.5,3,0.0,2020
2019-11-27,1 News–Colmar Brunton,46,39,4.3,7,1.6,2.2,2020
2019-11-11,Stuff–YouGov,38,41,8,8,2,2.0,2020
2019-10-09,1 News–Colmar Brunton,47,40,4.2,7,0.9,1.7000000000000002,2020
2019-10-09,Newshub–Reid Research,43.9,41.6,4.0,6.3,1.4,2.8,2020
2019-07-24,1 News–Colmar Brunton,45,43,3.3,6,1,2.4000000000000004,2020
2019-06-08,1 News–Colmar Brunton,44,42,5,6,0.7,1.6,2020
2019-06-07,Newshub–Reid Research,37.4,50.8,2.8,6.2,0.8,1.6,2020
2019-04-10,1 News–Colmar Brunton,40,48,4.3,6,0.7,0.9,2020
2019-03-23,Business NZ–Reid Research,41.3,49.6,2.3,3.9,0,0.0,2020
2019-02-13,1 News–Colmar Brunton,42,45,3,6,0.9,2.2,2020
2019-02-02,Newshub–Reid Research,41.6,47.5,2.9,5.1,0.4,2.4000000000000004,2020
2018-11-28,1 News–Colmar Brunton,46,43,4,5,0.6,1.2,2020
2018-10-19,1 News–Colmar Brunton,43,45,5,7,0.3,1.2,2020
2018-08-01,1 News–Colmar Brunton,45,42,5,6,1.1,1.4000000000000001,2020
2018-05-24,Newshub–Reid Research,45.1,42.6,2.4,5.7,0.2,3.6,2020
2018-05-23,1 News–Colmar Brunton,45,43,4.2,5,0.7,1.5999999999999999,2020
2018-04-11,1 News–Colmar Brunton,44,43,5,6,0.3,1.8,2020
2018-02-14,1 News–Colmar Brunton,43,48,2.6,5,0.5,1.4,2020
2018-01-28,Newshub–Reid Research,44.5,42.3,3.8,6,0.2,2.5,2020
2018-01-28,Roy Morgan Research,39,42.5,6,9,0.5,2.5,2020
2017-12-10,Roy Morgan Research,40.5,37,8,10,0.5,0.0,2020
2017-12-05,1 News–Colmar Brunton,46,39,5,7,0.1,2.1,2020
2017-11-12,Roy Morgan Research,40.5,39.5,5,10,0.5,3.5,2020
2017-10-15,Roy Morgan Research,46,31,6.5,11,0.5,3.5,2020
