Date,Poll,National Party,Labour Party,Green Party,ACT New Zealand,New Zealand First Party,Other,Election Year
2024-04-30,Labour–Talbot Mills,34,33,12,7,6,4.0,2024
2024-04-30,1 News–Verian,36,30,14,7,4.2,4.9,2024
2024-04-30,Roy Morgan,36.5,24.5,13,11,5.5,7.5,2024
2024-04-30,Taxpayers' Union-Curia,37.1,25.7,14.6,7.2,6.3,6.199999999999999,2024
2024-04-30,Roy Morgan,38,23,13.5,11.5,6.5,6.0,2024
2024-04-30,Talbot Mills,38,28,14,8,6,0.0,2024
2024-04-30,Taxpayers' Union-Curia,37.4,25.3,11.3,10,7.4,4.6,2024
2024-04-30,Roy Morgan,35.5,21.5,15.5,12,7.5,6.5,2024
2024-04-30,1 News–Verian,38,28,12,8,6,5.6,2024
2024-04-30,Talbot Mills,38,29,12,7,6.2,6.300000000000001,2024
2024-04-30,Taxpayers' Union-Curia,39.6,27.9,9,13.7,5,2.3,2024
2024-04-30,Roy Morgan,38,22,15.5,7.5,6,9.0,2024
2024-04-30,Curia,41,28.4,9.5,7.8,5.6,3.6,2024
2024-04-30,Roy Morgan,36,22,15.5,9.5,6,9.0,2024
2024-04-30,Curia,36.5,28.8,10.8,6.2,8.1,5.0,2024
2024-04-30,Roy Morgan,37.5,21,12.5,12.5,8,6.0,2024
